ORDEN;COD_VIA;VIA_CLASE_ANT;VIA_PAR_ANT;VIA_NOMBRE_ANT;VIA_CLASE;VIA_PAR;VIA_NOMBRE
1;96200;Calle;de la;Batalla de Belchite;Calle;de;Juana Doña
2;917;Paseo ;del;Doctor Vallejo-Nágera;Paseo ;de;Juan Antonio Vallejo-Nájera Botas
3;356700;Plaza;de los;Hermanos Falcó y Álvarez de Toledo;Plaza;;Mayor de Barajas
4;526000;Paseo;de;Muñoz Grandes;Paseo;de;Marcelino Camacho
5;329900;Calle;del;General García de la Herránz;Calle;de la;Cooperación
6;329700;Travesia;del;General Franco;Calle;de;Diego Torres Villarroel
7;73600;Plaza;de;Arriba España;Plaza;de la;Charca Verde
8;123600;Calle;de los;Caídos de la División Azul;Calle;del;Memorial 11 de marzo de 2004
9;82000;Plaza;de;Aunós;Plaza;de;José Castillejo
10;328950;Calle;del;General Asensio Cabanillas;Calle;de la;Poeta Ángela Figuera
11;329400;Calle;del;General Dávila;Calle;de;Max Aub
12;419300;Calle;de;Juan Vigón;Calle;de;Melquíades Álvarez
13;332950;Calle;del;General Rodrigo;Calle;del;Maestro Ángel Llorca
14;417850;Plaza;de;Juan Pujol;Plaza;del;Rastrillo
15;402600;Calle;de;José Luis de Arrese;Calle;del;Poeta Blas de Otero
15B;402700;Travesía;de;José Luis de Arrese;Travesía;del;Poeta Blas de Otero
16;48900;Calle;del;Ángel del Alcázar;Calle;de;Guillermo Rovirosa
17;330300;Calle;del;General Kirkpatrick;Calle;de;Carlota O’Neill
18;158300;Plaza;del;Caudillo;Plaza;de;El Pardo
19;609700;Calle;del;Primero de Octubre;Calle;de;Carlos Morla Lynch
20;772400;Plaza;del;Veintiocho de Marzo;Plaza;del;Baile
21;137100;Calle;del;Capitán Cortés;Calle;de;Manuel Chaves Nogales
22;31000067;Avenida;del;Alcalde Conde de Mayalde;Avenida;del;Ingeniero Emilio Herrera
23;28150;Calle ;de ;El Algabeño;Calle ;de;José Rizal
24;329500;Avenida;del;General Fanjul;Avenida;de;Las Águilas
25;331250;Calle ;del;General Millán Astray;Calle ;de la;Maestra Justa Freire
26;333250;Calle;del;General Saliquet;Calle;de;Soledad Cazorla
27;325200;Calle ;de;García Morato;Calle ;de;Robert Capa
28;329850;Calle;del;General García Escamez;Calle;de;Anselmo Lorenzo
29;333000;Calle ;del;General Romero Basart;Calle ;de;Blas Cabrera
30;67700;Avenida;del;Arco de la Victoria;Avenida;de la;Memoria
31;333200;Paseo;del;General Sagardía Ramos;Paseo;de la;Maestra María Sánchez Arbós
32;31004081;Glorieta;de;Cirilo Martín Martín;Glorieta;de;Ramón Gaya
33;144900;Calle  ;de;Carlos Ruiz;Calle;de;Gerda Taro
34;33025;Calle;del;Almirante Francisco Moreno;Calle;del;Arquitecto Sánchez Arcas
35;263650;Plaza;de;Emilio Jiménez Millas;Plaza;de;José Moreno Villa
36;1887;Calle;del; Puerto de los Leones;Calle;de;Melchor Rodríguez
37;360800;Calle ;de los;Héroes del Alcázar;Calle ;de la;Filósofa Simone Weil
38;166500;Calle;del;Cerro de Garabitas;Calle;de la; Pintora Ángeles Santos.
39;220600;Calle;del;Crucero Baleares;Calle;del;Barco Sinaia
40;338200;Plaza;del;Gobernador Carlos Ruiz;Plaza;de;Corpus Barga
41;256300;Calle ;de;Eduardo Aunós;Calle ;de;Mercedes Fórmica
42;331500;Pasaje;del;General Mola;Pasaje;de;Enrique Ruano
43;357000;Calle;de los;Hermanos García Noblejas;Avenida;de la ;Institución Libre de Enseñanza
44;201600;Calle;del;Comandante Zorita;Calle ;del;Aviador Zorita
45;331800;Calle;del;General Orgaz;Calle;de;Fortunata y Jacinta
46;333900;Calle;del;General Varela;Calle ;de;Julián Besteiro
47;334200;Calle;del;General Yagüe;Calle;de;San Germán
48;331600;Calle;del;General Moscardó;Calle;de;Edgar Neville
49;328800;Calle;del;General Aranda;Calle;de;Matilde Landa
49B;328900;Escalinata;del;General Aranda;Escalinata;de;Matilde Landa
50;466800;Calle;de;Manuel Sarrión;Calle;de;Julián Zugazagoitia
51;137400;Calle ;del ;Capitán Haya;Calle ;del ;Poeta Joan Maragall
52;293200;Plaza;de;Fernández Ladreda;Plaza;;Elíptica
